q1,q2,q3,q4,q5,q6,q7,q12,q13,q15,q18,q24
7,1,4,2,A,1.57,72.58,1,1,1,2,2
5,2,1,,,,,1,1,1,2,2
3,2,1,2,A,1.7,63.05,4,1,1,2,2
4,2,2,2,A,1.75,74.84,1,5,1,2,2
6,2,4,2,A,1.78,88.45,1,1,1,2,2
7,1,4,2,A,1.63,58.97,1,1,1,2,2
3,1,1,2,A,1.63,61.24,1,1,1,2,2
4,2,1,2,A,1.68,61.24,5,5,1,1,2
4,1,2,2,A,1.63,72.58,1,1,1,2,2
6,1,4,2,A,1.57,63.5,1,1,3,1,2
7,2,4,2,A,1.7,65.77,1,1,1,2,2
5,1,1,2,A,1.57,104.33,1,3,2,2,1
4,1,1,2,A,1.63,54.89,1,1,1,2,2
6,2,2,2,A,1.63,66.68,1,1,1,2,2
6,1,4,2,A,1.65,54.43,1,1,1,2,2
7,1,4,2,A,1.68,81.19,1,1,1,2,2
3,2,1,,A,1.7,72.58,1,1,1,2,2
3,1,1,2,A,1.7,124.74,1,1,1,2,2
4,1,2,2,A,1.63,65.77,1,1,1,2,2
6,2,3,2,A,1.65,59.42,1,1,1,2,2
5,2,3,2,A,1.52,59.42,1,1,1,2,2
7,1,4,2,D,1.6,70.31,1,1,1,1,2
7,2,4,2,A,,,1,1,,2,2
3,2,1,2,A,,,1,1,1,2,2
4,2,1,2,AB,1.65,53.98,1,1,2,2,2
6,1,2,2,A,1.7,81.65,1,1,1,2,2
4,2,1,2,A,1.68,52.16,1,1,1,2,2
3,2,1,2,A,1.73,62.6,1,1,1,2,2
6,2,2,2,A,1.8,87.09,1,1,1,2,2
7,2,4,2,A,1.8,113.4,1,1,1,2,2
7,1,4,2,A,1.6,50.8,1,1,1,2,2
3,1,1,2,A,1.57,46.27,1,1,1,2,2
4,2,1,1,D,1.65,82.1,1,1,1,2,2
6,1,4,2,A,1.57,61.24,1,1,1,2,2
7,1,4,2,A,1.52,40.82,1,1,1,2,2
6,1,4,2,A,1.6,97.98,1,1,1,2,2
3,2,1,2,A,,,1,1,1,2,2
3,1,1,2,A,,,1,1,1,2,1
6,2,4,2,A,1.8,79.38,5,2,7,1,2
3,2,1,2,A,1.8,92.99,1,1,1,2,1
4,1,1,2,A,1.65,68.04,1,1,1,1,2
5,2,2,2,A,1.85,66.23,1,1,1,2,2
7,2,4,2,A,1.83,86.18,1,1,1,2,2
7,1,4,2,A,1.57,83.92,1,1,1,1,2
6,2,1,2,A,1.73,53.07,1,1,1,2,2
3,1,1,2,A,,,1,1,1,2,2
5,1,2,1,A,1.6,49.44,1,1,1,2,1
7,1,4,2,A,1.63,49.9,1,1,1,2,2
4,1,1,2,A,,,1,,1,1,2
6,2,2,2,A,1.68,49.9,1,3,1,2,2
7,2,4,2,A,1.83,68.04,1,1,1,2,2
6,1,4,2,A,1.63,63.05,1,1,1,2,2
5,2,1,2,A,,,1,1,1,2,2
4,2,1,2,A,,,1,2,3,,2
6,1,3,2,A,,,1,1,1,2,2
6,1,4,2,A,1.6,62.6,4,2,2,1,2
3,1,1,2,A   E,1.63,67.59,1,1,1,2,2
4,2,1,2,A,,,1,1,1,2,2
6,1,3,2,A,1.65,88.91,1,1,1,2,2
6,2,4,2,A,1.78,108.41,1,1,1,2,2
6,1,4,2,A,1.6,56.7,1,1,1,2,1
3,1,1,2,A C,1.63,52.16,1,1,1,2,2
4,2,1,2,A,1.7,54.43,1,1,2,1,1
5,2,2,2,A,1.68,79.38,1,1,1,1,1
6,1,4,2,A,1.6,68.04,1,1,1,2,2
7,2,4,2,A,1.78,61.24,1,1,1,2,2
7,2,4,2,A,1.83,108.86,1,1,1,2,2
6,2,4,2,A,,,1,1,1,2,2
4,1,1,2,A,1.65,94.35,1,1,1,2,2
4,2,1,2,A,1.73,58.51,1,1,1,2,2
6,2,2,2,A,1.68,67.13,1,1,1,2,2
7,1,4,1,A,1.68,82.56,5,1,1,1,2
7,2,4,2,A,1.75,101.15,1,1,1,2,2
3,2,1,2,A,1.8,62.14,1,3,2,2,2
4,1,1,2,A,1.6,72.12,1,1,1,2,2
4,1,2,2,A,1.73,68.04,1,1,1,2,2
6,1,4,2,A,1.65,49.9,1,1,1,2,2
6,1,4,2,A,1.52,49.9,1,1,1,2,2
4,1,1,2,A   E,1.52,42.18,1,1,1,1,2
5,1,1,2,A,1.63,58.97,1,1,1,2,2
5,2,2,1,A,1.78,96.62,1,1,1,2,1
5,2,2,1,E,1.83,79.38,1,1,1,1,2
5,1,2,2,A,1.65,61.24,1,1,1,1,2
4,1,2,1,E,1.55,44.45,1,1,1,1,2
6,2,3,1,A,1.7,54.43,1,1,4,1,1
4,2,2,1,E,1.85,113.4,1,1,1,1,2
4,1,2,1,E,1.5,58.97,1,1,1,1,2
5,2,2,1,E,1.9,54.43,1,5,1,1,2
5,1,2,1,E,1.68,56.7,1,1,1,2,2
4,1,2,2,E,1.65,52.62,1,1,2,1,1
5,1,2,2,B,1.57,74.84,1,1,1,2,1
4,1,2,2,A,1.57,83.92,1,1,1,2,2
4,2,1,2,E,1.78,76.2,1,1,1,2,2
4,1,2,1,E,1.55,47.17,1,1,1,1,2
5,1,1,1,,1.65,56.7,1,1,1,2,2
4,2,2,1,E,1.8,79.38,1,1,1,2,1
5,1,2,2,A,1.6,49.9,1,1,1,2,2
4,2,2,1,A   E,1.7,60.78,1,1,3,1,2
5,2,2,2,E,1.73,83.92,1,1,1,2,2
6,1,3,2,A,1.6,83.46,4,1,2,1,2
4,1,2,1,E,1.63,52.16,1,1,1,2,2
4,1,2,1,A   E,1.52,47.63,1,1,1,2,2
5,1,2,1,E,1.65,56.25,1,1,1,2,1
4,1,1,2,E,1.63,45.36,1,1,1,1,1
7,2,4,2,E,1.68,49.9,1,1,1,1,1
5,1,2,1,C,1.63,56.7,1,1,3,2,2
4,1,2,2,E,1.65,52.62,1,1,2,2,1
4,2,2,2,E,1.8,65.32,1,1,2,2,2
7,2,4,2,E,1.75,68.04,1,1,1,1,2
5,1,2,2,E,1.68,57.61,1,1,1,2,2
5,2,2,2,B,1.7,57.61,1,1,1,2,2
4,2,1,2,E,1.73,56.7,1,1,3,2,2
4,2,2,2,E,1.8,48.99,1,1,1,2,2
5,2,3,2,B  E,1.73,72.58,1,1,1,2,2
5,1,2,2,E,1.78,56.7,1,1,1,2,2
4,2,2,2,E,1.8,70.31,1,1,1,2,2
4,2,1,1,E,1.73,63.5,1,1,1,2,2
4,2,2,2,E,1.8,81.65,1,1,3,2,1
4,1,2,1,E,1.63,48.54,1,1,1,1,2
6,1,4,2,E,1.75,68.04,1,1,1,2,2
4,2,2,2,E,1.73,72.58,1,1,1,2,2
3,2,1,2,E,,,1,1,1,2,2
5,2,2,1,C,1.88,78.02,1,1,1,2,2
5,2,2,2,B DE,1.73,58.06,1,1,1,1,2
4,2,2,1,E,1.8,77.11,1,1,1,2,2
4,2,2,2,E,1.83,74.84,1,1,1,2,2
4,2,1,2,C,1.83,111.13,1,1,2,1,1
4,2,2,2,E,1.63,58.06,1,1,1,2,2
4,2,2,2,E,1.7,51.26,1,1,1,,1
6,2,3,1,E,1.9,86.18,1,1,1,2,2
4,2,1,2,E,1.78,61.69,1,1,1,2,2
6,2,4,2,B,1.68,61.24,1,1,1,2,2
4,2,2,2,E,1.83,87.09,1,1,1,2,2
4,2,2,2,B  E,1.85,72.58,1,1,1,2,2
5,1,2,2,E,1.63,58.97,1,1,1,2,2
3,2,1,1,E,1.9,68.95,1,1,1,2,2
4,2,1,1,E,1.78,54.43,1,1,1,2,2
4,2,2,1,C E,1.78,70.31,1,1,1,2,2
6,2,3,2,E,1.75,70.31,1,1,1,2,2
7,1,4,2,D,1.68,68.04,1,1,1,2,2
7,2,4,2,E,1.75,83.01,1,1,1,2,2
3,2,1,2,E,1.68,66.23,1,1,1,2,2
5,1,3,2,B  E,1.65,64.86,1,1,1,2,2
4,2,2,2,C,1.78,117.94,1,1,1,2,2
4,2,2,2,E,1.68,54.43,1,1,1,2,2
4,2,2,2,B  E,1.78,61.24,1,1,1,2,2
6,2,3,2,B  E,1.73,65.77,1,1,1,2,2
3,2,1,1,E,1.63,52.16,1,1,1,2,1
4,2,2,2,E,1.83,60.33,1,1,1,2,1
5,2,2,2,E,1.96,81.65,1,1,1,2,2
7,2,4,1,A   E,,,1,1,,2,2
4,2,2,2,E,1.88,83.92,1,1,1,2,2
5,2,3,2,E,1.83,65.32,1,5,1,1,2
5,2,2,2,E,1.98,147.42,1,5,8,1,1
5,2,3,2,C,1.78,58.97,1,1,1,2,2
4,1,2,2,E,1.63,77.11,1,1,2,1,1
4,2,2,1,E,1.68,58.97,1,1,1,2,2
6,2,3,2,C E,1.7,54.43,1,1,1,2,2
4,2,2,1,B,1.73,50.8,1,1,1,2,2
4,2,2,2,E,1.78,56.7,1,1,1,2,2
7,1,3,1,E,1.57,69.4,1,1,1,2,2
4,2,2,2,E,1.78,99.79,1,1,1,2,2
6,2,3,2,E,1.75,74.84,1,1,4,1,2
6,2,3,2,E,1.85,72.58,1,1,1,2,2
4,2,1,2,A C E,1.65,58.97,1,1,1,2,2
5,2,2,2,E,1.83,68.04,1,1,1,2,2
5,1,3,1,E,1.78,74.84,1,1,1,2,2
5,2,3,2,E,1.8,79.38,1,5,1,2,2
4,2,2,2,C,1.88,77.11,1,1,1,2,2
6,1,3,2,E,1.63,61.24,1,1,1,2,2
6,2,4,2,C,1.8,104.33,1,1,1,1,2
4,1,1,1,E,1.75,68.95,3,1,1,1,1
5,2,2,2,C,1.7,61.24,1,1,1,2,1
5,1,3,2,E,,,1,1,1,2,2
6,2,4,2,C,1.83,97.52,1,1,1,1,2
