q1,q2,q3,q6,q7,q66,q80,q84
6,2,4,,,3,6,2
4,1,1,1.65,94.35,,,
4,2,1,1.73,58.51,3,6,2
6,2,2,1.68,67.13,3,2,1
7,1,4,1.68,82.56,4,6,3
7,2,4,1.75,101.15,4,4,2
3,2,1,1.8,62.14,3,8,
4,1,1,1.6,72.12,5,8,1
4,1,2,1.73,68.04,4,8,5
6,1,4,1.65,49.9,3,6,4
6,1,4,1.52,49.9,3,2,1
4,1,1,1.52,42.18,3,1,4
5,1,1,1.63,58.97,3,8,2
5,2,2,1.78,96.62,4,6,2
5,2,2,1.83,79.38,3,6,2
5,1,2,1.65,61.24,3,6,3
4,1,2,1.55,44.45,2,8,5
6,2,3,1.7,54.43,3,6,4
4,2,2,1.85,113.4,3,8,4
4,1,2,1.5,58.97,5,8,4
5,2,2,1.9,54.43,1,4,2
5,1,2,1.68,56.7,3,8,1
4,1,2,1.65,52.62,3,8,3
5,1,2,1.57,74.84,4,6,2
4,1,2,1.57,83.92,4,8,4
4,2,1,1.78,76.2,3,8,2
4,1,2,1.55,47.17,2,8,4
5,1,1,1.65,56.7,3,8,2
4,2,2,1.8,79.38,4,8,4
5,1,2,1.6,49.9,3,7,2
4,2,2,1.7,60.78,2,7,4
5,2,2,1.73,83.92,4,1,3
6,1,3,1.6,83.46,4,6,3
4,1,2,1.63,52.16,3,2,4
4,1,2,1.52,47.63,2,6,4
5,1,2,1.65,56.25,3,6,4
4,1,1,1.63,45.36,2,6,4
7,2,4,1.68,49.9,2,5,3
5,1,2,1.63,56.7,3,8,3
4,1,2,1.65,52.62,2,3,4
4,2,2,1.8,65.32,4,6,1
7,2,4,1.75,68.04,3,7,5
5,1,2,1.68,57.61,3,8,3
5,2,2,1.7,57.61,3,6,1
4,2,1,1.73,56.7,3,6,4
4,2,2,1.8,48.99,3,6,3
5,2,3,1.73,72.58,3,8,2
5,1,2,1.78,56.7,3,6,2
4,2,2,1.8,70.31,3,8,2
4,2,1,1.73,63.5,3,6,1
4,2,2,1.8,81.65,3,6,3
4,1,2,1.63,48.54,2,8,4
6,1,4,1.75,68.04,3,6,3
4,2,2,1.73,72.58,4,8,2
3,2,1,,,,5,2
5,2,2,1.88,78.02,2,6,2
5,2,2,1.73,58.06,3,7,3
4,2,2,1.8,77.11,4,6,1
4,2,2,1.83,74.84,4,6,3
4,2,1,1.83,111.13,4,6,2
4,2,2,1.63,58.06,3,1,3
4,2,2,1.7,51.26,2,6,5
6,2,3,1.9,86.18,3,6,1
4,2,1,1.78,61.69,3,2,1
6,2,4,1.68,61.24,3,6,3
4,2,2,1.83,87.09,4,6,4
4,2,2,1.85,72.58,3,6,1
5,1,2,1.63,58.97,3,8,4
3,2,1,1.9,68.95,2,8,2
4,2,1,1.78,54.43,2,1,2
4,2,2,1.78,70.31,3,8,3
6,2,3,1.75,70.31,3,1,3
7,1,4,1.68,68.04,3,6,3
7,2,4,1.75,83.01,4,7,1
3,2,1,1.68,66.23,4,6,3
5,1,3,1.65,64.86,3,4,2
4,2,2,1.78,117.94,5,7,3
4,2,2,1.68,54.43,3,6,2
4,2,2,1.78,61.24,3,6,2
6,2,3,1.73,65.77,3,1,2
3,2,1,1.63,52.16,3,8,4
4,2,2,1.83,60.33,1,8,2
5,2,2,1.96,81.65,3,6,3
7,2,4,,,2,8,3
4,2,2,1.88,83.92,3,1,3
5,2,3,1.83,65.32,3,4,3
5,2,2,1.98,147.42,5,8,2
5,2,3,1.78,58.97,2,6,1
4,1,2,1.63,77.11,4,4,4
4,2,2,1.68,58.97,4,8,2
6,2,3,1.7,54.43,2,6,2
4,2,2,1.73,50.8,1,6,3
4,2,2,1.78,56.7,2,6,3
7,1,3,1.57,69.4,4,6,3
4,2,2,1.78,99.79,4,8,1
6,2,3,1.75,74.84,3,6,3
6,2,3,1.85,72.58,3,4,2
4,2,1,1.65,58.97,3,6,2
5,2,2,1.83,68.04,2,6,2
5,1,3,1.78,74.84,3,8,3
5,2,3,1.8,79.38,3,8,5
4,2,2,1.88,77.11,3,5,3
6,1,3,1.63,61.24,3,8,2
6,2,4,1.8,104.33,4,6,4
4,1,1,1.75,68.95,3,,
5,2,2,1.7,61.24,3,6,3
5,1,3,,,,6,4
6,2,4,1.83,97.52,3,7,3
6,2,4,1.83,68.95,3,6,1
4,2,2,1.75,67.13,3,6,2
6,1,3,1.52,56.7,4,8,2
6,2,4,1.8,79.38,3,6,1
7,2,4,1.78,68.95,,,
3,1,1,1.45,70.76,3,8,4
3,1,1,1.6,56.7,3,8,3
4,1,1,,,,6,3
4,1,1,1.6,58.97,3,7,3
3,1,1,1.57,40.82,2,6,2
3,1,1,1.65,56.25,3,6,3
3,1,1,1.68,49.44,3,6,2
7,2,4,1.73,72.58,3,2,2
6,2,4,1.85,85.73,3,1,1
7,2,4,1.8,90.72,4,7,1
7,2,4,1.75,87.54,3,8,1
7,2,4,1.8,77.11,3,8,1
6,1,4,1.6,86.18,3,8,1
6,1,4,1.65,104.33,5,8,5
7,1,4,1.7,97.98,4,6,1
7,2,4,1.68,61.24,2,6,1
7,2,4,1.83,83.92,3,6,1
7,1,4,1.55,70.31,4,2,1
6,2,4,1.9,77.11,3,7,3
7,2,4,1.73,89.36,3,8,1
6,1,4,1.57,113.4,3,1,1
6,1,4,1.7,63.5,3,6,4
4,2,1,1.7,57.61,3,6,2
3,2,1,1.7,52.16,2,1,2
3,1,1,1.55,49.9,4,6,3
4,1,1,1.65,52.16,3,6,2
4,1,1,1.6,46.72,3,6,4
4,2,1,1.85,81.65,3,6,1
3,1,1,1.73,68.04,4,7,4
3,2,1,1.73,64.86,3,1,2
3,1,1,,,,4,1
7,2,4,,,5,5,5
4,2,1,1.8,65.77,3,5,2
3,1,1,1.63,81.65,4,8,3
4,2,1,1.73,78.47,,,
3,2,1,1.68,62.6,2,4,3
4,1,1,1.55,48.08,2,1,3
3,1,1,1.6,47.63,2,6,2
4,2,1,1.75,79.38,4,5,
4,1,1,,,3,4,1
4,2,1,1.7,61.24,4,8,2
4,2,2,1.68,68.04,4,8,1
5,2,2,1.7,86.18,4,8,1
4,1,2,1.63,96.62,5,8,3
4,2,2,,,1,5,1
5,1,2,1.65,52.16,,,
5,2,2,1.78,120.2,5,7,3
5,2,2,,,,,
5,1,2,,,3,8,3
5,1,2,1.63,81.65,4,8,4
5,2,2,1.68,63.5,4,1,4
5,1,2,1.57,54.43,3,8,1
5,1,2,1.57,65.77,5,6,3
5,1,2,1.65,68.04,3,8,4
5,2,2,1.88,127.01,4,6,3
5,2,2,,,5,,1
5,1,2,1.57,61.24,4,6,3
5,1,2,,,3,8,2
5,2,2,1.7,55.79,,,
5,1,2,1.57,43.09,2,5,3
7,1,4,1.57,58.51,4,8,
6,1,4,1.7,71.22,3,6,3
4,1,1,,,,,
3,2,1,1.65,45.36,2,6,1
6,1,3,1.73,56.7,3,4,3
4,1,2,1.57,54.43,3,8,3
6,1,4,1.73,61.24,3,8,2
6,1,4,1.5,63.5,4,7,5
3,2,1,,,,,
5,2,1,1.7,63.5,3,8,1
5,1,3,1.5,44.45,2,8,3
7,1,4,1.7,58.97,3,,
6,2,4,1.85,117.94,4,8,2
3,2,1,1.68,52.16,1,7,2
4,2,1,1.75,63.5,2,6,1
5,1,3,1.78,99.79,4,6,3
4,1,2,1.57,61.24,4,6,5
6,2,4,1.85,74.84,4,6,1
6,1,4,1.73,104.33,4,8,3
4,2,1,1.75,52.16,,,
3,1,1,1.65,68.04,4,6,2
6,1,3,1.7,72.58,4,4,4
5,2,3,1.88,67.59,3,7,2
6,1,3,1.52,54.43,3,6,5
4,2,1,,,2,1,1
6,1,3,1.68,99.79,2,8,2
5,2,3,1.93,99.79,3,5,1
6,2,3,1.93,97.52,3,6,3
4,1,2,1.63,53.52,3,1,2
4,1,2,1.6,72.58,4,6,4
7,1,4,1.52,63.5,5,6,3
6,2,4,1.75,68.04,3,8,4
5,2,3,1.8,61.24,3,6,3
4,1,2,1.63,65.77,3,6,4
4,2,2,,,4,4,2
6,2,4,1.78,74.84,3,,
5,1,3,1.6,67.13,3,8,2
4,2,2,1.78,60.78,3,6,3
5,2,3,1.7,54.89,3,6,3
6,1,4,1.63,58.97,3,7,2
6,1,4,1.55,70.31,4,7,2
3,2,1,1.68,63.5,4,8,2
